Tópico,Pregunta,Total Puntos,Total Puntos a Considerar,Punto 1,Puntuación 1,Punto 2,Puntuación 2,Punto 3,Puntuación 3,ID,Scoring Guideline
tabla hash,¿Qué es y para que sirve el factor de carga?,2.0,2,Relación entre los elementos que hay en la tabla y el tamaño de esta,1.0,Sirve para saber cuando agrandar la tabla ,1.0,,0.0,e0ba5ba7f962bc9ec8958ca2365150a3a285973d5ed658d8737b29ce2ea4566b,"Punto 1: Relación entre los elementos que hay en la tabla y el tamaño de esta (Puntuación: 1.0), Punto 2: Sirve para saber cuando agrandar la tabla  (Puntuación: 1.0)"
tabla hash,"En una tabla hash, ¿por qué al eliminar un dato se “marca” (por ejemplo asignando NULL a la key) en vez de dejar la casilla en NULL directamente?",2.0,1,Para evitar problemas con el sondeo (algoritmo de resolución de colisiones),2.0,,0.0,,0.0,976cd47e56556dd213d5a34112e1ed024b67026c0efbe39d8420b75999c13816,Punto 1: Para evitar problemas con el sondeo (algoritmo de resolución de colisiones) (Puntuación: 2.0)
tabla hash,¿Cómo se realiza la expansión de la tabla hash cuando esta supera el 70% de su capacidad?,2.0,2,Se crea una nueva tabla hash de mayor tamaño,1.0,Se reinsertan los elementos existentes en la nueva tabla,1.0,,0.0,0c492edcb05e834c66a3d68e635279e6f4c13179a394c22da3bd480dc9ccbd71,"Punto 1: Se crea una nueva tabla hash de mayor tamaño (Puntuación: 1.0), Punto 2: Se reinsertan los elementos existentes en la nueva tabla (Puntuación: 1.0)"
ABB,¿Qué propiedad debe cumplir un árbol binario de búsqueda?,2.0,1,La clave de cada nodo debe ser mayor que las claves de la izaquierda y menor a las de la derecha,2.0,,0.0,,0.0,c69ac256ccb4585bf64bb477c28c9c4f20e125c8b03fddf21269c899e3c3bd67,Punto 1: La clave de cada nodo debe ser mayor que las claves de la izaquierda y menor a las de la derecha (Puntuación: 2.0)
ABB,¿Qué significa que un árbol binario de búsqueda esté equilibrado (AVL)?,2.0,1,"Si para cada nodo, la diferencia en altura entre el subárbol izquierdo y el subárbol derecho es a lo más 1",2.0,,0.0,,0.0,71fc7d393bb72b7debe052cbc91f1ec4e4a34bf3be665c1f28da9a1b5be6c9ff,"Punto 1: Si para cada nodo, la diferencia en altura entre el subárbol izquierdo y el subárbol derecho es a lo más 1 (Puntuación: 2.0)"
ABB,Explique cómo obtener el siguiente nodo con clave mayor a la de un nodo dado en un árbol binario de búsqueda.,2.0,2,Si tiene hijo derecho: se va al nodo derecho y luego a su hijo izquierdo más lejano,1.0,Si no tiene hijo derecho: primer ancestro con clave mayor,1.0,,0.0,95b50f3a115db5be48b64ec4ac4315e847629a0f48d3848e19c47d94c74b7f3a,"Punto 1: Si tiene hijo derecho: se va al nodo derecho y luego a su hijo izquierdo más lejano (Puntuación: 1.0), Punto 2: Si no tiene hijo derecho: primer ancestro con clave mayor (Puntuación: 1.0)"
ABB,Explique un algoritmo para calcular la cantidad de nodos descendientes de un nodo en un árbol binario.,2.0,2,Recorre el árbol,1.0,Se incrementa un contador por cada nodo visitado en el subárbol del nodo dado,1.0,,0.0,ceaabaa6b3aaf87522818235e40b65a887bf9a66250c126e8c67fe8adb37b887,"Punto 1: Recorre el árbol (Puntuación: 1.0), Punto 2: Se incrementa un contador por cada nodo visitado en el subárbol del nodo dado (Puntuación: 1.0)"
ABB,Explique paso a paso la inserción en un árbol binario de búsqueda.,2.0,3,"Explica cómo ""buscar"" la clave a insertar",0.0,"Se ""busca"" la clave a insertar",1.0,Se agrega el nuevo dato como hijo del último nodo visitado,1.0,e161e92f03d8e6fac4c1f160ef1ec2fb635c1b44ff169576dcfb205422597881,"Punto 1: Explica cómo ""buscar"" la clave a insertar (Puntuación: 0.0), Punto 2: Se ""busca"" la clave a insertar (Puntuación: 1.0), Punto 3: Se agrega el nuevo dato como hijo del último nodo visitado (Puntuación: 1.0)"
ABB,"Para obtener un árbol binario de búsqueda perfectamente balanceado,en qué orden deberíamos ingresar la siguiente secuencia de claves: [1 2 3 4 5 6 7]?",2.0,1,"Da un ejemplo correcto, por ejemplo: [4 2 3 1 6 5 7] o [4 2 6 1 3 5 7]",2.0,,0.0,,0.0,63f09fd52f15b2d1d8f97b9b727ce7f8ae102f95fde4b20406461a9c8b2912dd,"Punto 1: Da un ejemplo correcto, por ejemplo: [4 2 3 1 6 5 7] o [4 2 6 1 3 5 7] (Puntuación: 2.0)"
AVL,"Explique, de manera general, cuándo y cómo se efectúan las rotaciones en un árbol AVL.",2.0,2,Cuando el árbol se desequilibra después de una inserción o eliminación,1.0,Descripción general de las rotaciones en un AVL,1.0,,0.0,e31181268b9eea4e021b40c96e870df77f210c31e299f29086f5eabfb7aa3008,"Punto 1: Cuando el árbol se desequilibra después de una inserción o eliminación (Puntuación: 1.0), Punto 2: Descripción general de las rotaciones en un AVL (Puntuación: 1.0)"
AVL,¿Cómo se determina el factor de balance en un árbol AVL y qué indica?,2.0,2,Se determina como la diferencia de alturas entre el subárbol izquierdo y derecho,1.0,Indica si el subárbol está balanceado,1.0,,0.0,8d993e1562d2c4b5f61323077adb02e8242ba1cbba394614408ccceeb70cd0ce,"Punto 1: Se determina como la diferencia de alturas entre el subárbol izquierdo y derecho (Puntuación: 1.0), Punto 2: Indica si el subárbol está balanceado (Puntuación: 1.0)"
AVL,¿En qué escenarios un árbol AVL puede ser más eficiente que un árbol rojo-negro? Explique.,2.0,2,Menciona al menos un escenario (como búsquedas en un conjunto de datos donde las inserciones y eliminaciones son menos frecuentes),1.0,Explica correctamente el escenario,1.0,,0.0,c10db14ded8d024fba9efb6a1c7a00eb63a139215dbc6ef87af1063d977fc7cb,"Punto 1: Menciona al menos un escenario (como búsquedas en un conjunto de datos donde las inserciones y eliminaciones son menos frecuentes) (Puntuación: 1.0), Punto 2: Explica correctamente el escenario (Puntuación: 1.0)"
Rojo-negro,"En el árbol rojo negro, cada rama debe tener la misma cantidad de nodos negros. Si tengo un árbol con 5 nodos negros en cada rama, entonces ¿cuál es la altura mínima y máxima que puede tener el árbol? Explique.",1.0,3,La altura mínima es 5,0.0,La altura máxima es 10,0.0,Explicación correcta,1.0,fdbc531eb6813dde8c1c754a098aed7bc2d4c4f46728d9a73e2e82f192b229c9,"Punto 1: La altura mínima es 5 (Puntuación: 0.0), Punto 2: La altura máxima es 10 (Puntuación: 0.0), Punto 3: Explicación correcta (Puntuación: 1.0)"
Rojo-negro,"¿Por qué los árboles rojo-negro son los preferidos en el diseño de estructuras de datos ordenadas, como TreeMap en Java? ¿Qué pasa con el AVL?",2.0,2,Más rápido en operaciones de inserción/eliminación,1.0,AVL es más estricto: realiza más rotaciones empeorando la eficiencia,1.0,,0.0,8bfa9c458f3412c5cb790c4b8aa848517acea18173d8b2f7f08059e52ca041a1,"Punto 1: Más rápido en operaciones de inserción/eliminación (Puntuación: 1.0), Punto 2: AVL es más estricto: realiza más rotaciones empeorando la eficiencia (Puntuación: 1.0)"
Rojo-negro,¿Cómo se mantiene el balance en un árbol rojo-negro después de una inserción o eliminación?,2.0,2,Realizando rotaciones,1.0,Recoloreando nodos,1.0,,0.0,88f26d33a88e0db556e6dd080604d8d104a60b73abe28491b857498918a19e81,"Punto 1: Realizando rotaciones (Puntuación: 1.0), Punto 2: Recoloreando nodos (Puntuación: 1.0)"
Rojo-negro,"Si un árbol rojo-negro tiene N nodos negros, ¿cuál es la altura máxima que puede tener el árbol y por qué?",2.0,2,Altura máxima es 2N,1.0,Cada nodo rojo debe tener nodos negros como hijos,1.0,,0.0,5883d81db0b7c1f56bfe1fd9f0e99b63a4b9d31d7aae05aadfd0c3d6b3667c74,"Punto 1: Altura máxima es 2N (Puntuación: 1.0), Punto 2: Cada nodo rojo debe tener nodos negros como hijos (Puntuación: 1.0)"
Splay,¿Cuándo podría ser conveniente utilizar un árbol biselado? ¿Por qué?,2.0,2,Cuando algunos datos se acceden con mayor frecuencia,1.0,Estos datos se mantienen en nodos más cercanos a la raíz,1.0,,0.0,80155050e84dfc09dc82c26f910e894c210b391d17c61072caf88f2046233ad1,"Punto 1: Cuando algunos datos se acceden con mayor frecuencia (Puntuación: 1.0), Punto 2: Estos datos se mantienen en nodos más cercanos a la raíz (Puntuación: 1.0)"
Splay,"¿Por qué los árboles biselados no necesitan almacenar información adicional, como la altura o el balance, en sus nodos, en comparación con otros tipos de árboles de búsqueda binaria?",2.0,1,"Nodo accedido siempre se ""sube"" realizando rotaciones (no necesita un factor de balanceo)",2.0,,0.0,,0.0,da4f4023c391d35893a4706317dac571a485e25358f44d9a48fe2183fca0091c,"Punto 1: Nodo accedido siempre se ""sube"" realizando rotaciones (no necesita un factor de balanceo) (Puntuación: 2.0)"
Splay,¿Cuáles son algunas aplicaciones prácticas de los árboles biselados y por qué son adecuados para estas aplicaciones?,2.0,2,Razón correcta,1.0,Aplicación correcta,1.0,,0.0,3776897628f9e849a8afe4f53f9be1b3b9cc439cc65c97f113533ee46fe74900,"Punto 1: Razón correcta (Puntuación: 1.0), Punto 2: Aplicación correcta (Puntuación: 1.0)"
B/B+,¿Por qué se dice que un árbol B/B+ es una estructura de datos adecuada para mantenerla en disco (disco duro o SSD)?,2.0,1,Optimizan el acceso a disco reduciendo la cantidad de lecturas/escrituras,2.0,,0.0,,0.0,c4d1214fea3141c9f8e251a7865e770cf7e49a0e266fcb77c1b716bf588403bc,Punto 1: Optimizan el acceso a disco reduciendo la cantidad de lecturas/escrituras (Puntuación: 2.0)
B/B+,"En un árbol B/B+, ¿cuál es el tamaño óptimo que debieran tener los nodos y por qué?",2.0,1,El tamaño óptimo es el que permite aprovechar al máximo el bloque de lectura del disco,2.0,,0.0,,0.0,3d6c47b62d690ff19bccb96e3e1e9b16f07e5b7c7173658dabe0fc0e0a274b5c,Punto 1: El tamaño óptimo es el que permite aprovechar al máximo el bloque de lectura del disco (Puntuación: 2.0)
B/B+,"¿Cuántas lecturas a disco requiere un árbol B+ para realizar la búsqueda de un dato (usando la clave), asumiendo que el árbol tiene 10^10 datos, y la cantidad de hijos por nodo es 100? Explicite los cálculos necesarios para llegar al resultado.",2.0,2,Altura del árbol es log100(10^10)=5,1.0,Se necesitan alrededor de 7 lecturas (raiz+nodos intermedios+dato),1.0,,0.0,d1bb75792c474a546f90eda719fc7e20e52fddef60e8970a95e9ce5e398e7625,"Punto 1: Altura del árbol es log100(10^10)=5 (Puntuación: 1.0), Punto 2: Se necesitan alrededor de 7 lecturas (raiz+nodos intermedios+dato) (Puntuación: 1.0)"
B/B+,Explique paso a paso la inserción en un árbol B.,2.0,2,Búsqueda del nodo hoja en donde se debe realizar la inserción,1.0,Explicación correcta de división de nodos,1.0,,0.0,83301bb955a0a07b263963c7495a318ffd78ac97fb110fdce3b8d80b4bc141db,"Punto 1: Búsqueda del nodo hoja en donde se debe realizar la inserción (Puntuación: 1.0), Punto 2: Explicación correcta de división de nodos (Puntuación: 1.0)"
B/B+,Indique ventajas de un árbol B+ en comparación con un árbol B.,2.0,1,Al menos 1 ventaja correcta,2.0,,0.0,,0.0,cfbeef6794507806ea2486acd6509825a6e4883da62fa70a844725589aef4f96,Punto 1: Al menos 1 ventaja correcta (Puntuación: 2.0)
B/B+,¿Qué ventaja tiene un árbol B/B+ comparado con una tabla hash?,4.0,2,Recorridos ordenados,2.0,Búsquedas por rangos eficientes,2.0,,0.0,f2f182ca198d2ee14ce9c93dd882b08fb3c3b8a9be63d30510799e9b4b1bd4fd,"Punto 1: Recorridos ordenados (Puntuación: 2.0), Punto 2: Búsquedas por rangos eficientes (Puntuación: 2.0)"
Lista enlazada,¿Cuáles son los pasos que debe seguir el algoritmo de eliminación del nodo current en una lista enlazada doble?,2.0,2,Conecta nodo anterior con el siguiente,1.0,Liberar memoria del nodo,1.0,,0.0,e07205eae0ace5cb92b38a8b1cc7f0a724bec72bb793be63851e819328045db1,"Punto 1: Conecta nodo anterior con el siguiente (Puntuación: 1.0), Punto 2: Liberar memoria del nodo (Puntuación: 1.0)"
Lista enlazada,¿Por qué en una lista enlazada circular simple es mejor mantener un puntero al final que al principio?,2.0,2,Facilita la operación de inserción al final,1.0,Facilita la operación de eliminación al final (incorrecto ya que necesito recorrer la lista para enlazar penúltimo elemento con el primero),1.0,,0.0,91a34a20438b3398a046ede829330ce2e9a9a102d18974cc417d39bf5a7359a1,"Punto 1: Facilita la operación de inserción al final (Puntuación: 1.0), Punto 2: Facilita la operación de eliminación al final (incorrecto ya que necesito recorrer la lista para enlazar penúltimo elemento con el primero) (Puntuación: 1.0)"
Lista enlazada,¿Cuándo es más conveniente usar una lista enlazada en vez de un arreglo?,3.0,2,Cuando se necesitan inserciones y eliminaciones eficientes en medio de la lista,2.0,Para almacenamiento dinámico,1.0,,0.0,8e1dda5a080ff27536cf928e53ac405660b9471cee4bc37988689beaed3175ee,"Punto 1: Cuando se necesitan inserciones y eliminaciones eficientes en medio de la lista (Puntuación: 2.0), Punto 2: Para almacenamiento dinámico (Puntuación: 1.0)"
Arreglo,¿Cuáles son los pasos que debe seguir el algoritmo de eliminación del dato current en una arreglo circular con índices inicio y fin?,2.0,2,Desplazar los datos después de la posición de eliminación,1.0,Actualizar los índices,1.0,,0.0,5ca4b4f8be84d46d68845321cbd0de06eb3b456cd9b22d5018e35cd3bbfa863e,"Punto 1: Desplazar los datos después de la posición de eliminación (Puntuación: 1.0), Punto 2: Actualizar los índices (Puntuación: 1.0)"
Arreglo,"Cuando implementamos TDAs usando arreglos, ¿por qué no es necesario liberar memoria cuando eliminamos un dato?",2.0,1,Porque el arreglo ya tiene un tamaño predefinido,2.0,,0.0,,0.0,4645a35f1ac192fc189b06b1956c38a1568b5e70549d119db0e1fb80a536c90e,Punto 1: Porque el arreglo ya tiene un tamaño predefinido (Puntuación: 2.0)
Arreglo,¿Por qué se dice que un arreglo ordenado es más rápido que un árbol binario para hacer búsquedas?,2.0,2,Menciona explícitamente que se aplica búsqueda binaria en arreglo ordenado (si realiza búsqueda directa item **no considera**),1.0,Se comporta como un árbol perfectamente balanceado (mínima altura),1.0,,0.0,e2e5d1bde18b6e77a4a6493b5190e14abf893d2ec48e0f70a7490c9283a77694,"Punto 1: Menciona explícitamente que se aplica búsqueda binaria en arreglo ordenado (si realiza búsqueda directa item **no considera**) (Puntuación: 1.0), Punto 2: Se comporta como un árbol perfectamente balanceado (mínima altura) (Puntuación: 1.0)"
Lista,Indique y explique 2 ejemplos en los que convendría utilizar una Lista en vez de un Mapa.,2.0,2,Explicación correcta,1.0,Ejemplo correcto,1.0,,0.0,6082898773ee06908aa9e17e054d02989d1dc0deb2ecf3bb155e1ea8fadd47f4,"Punto 1: Explicación correcta (Puntuación: 1.0), Punto 2: Ejemplo correcto (Puntuación: 1.0)"
Grafos,"Un grafo de ciudades se puede implementar con una lista de ciudades, en donde cada ciudad tiene una lista de pares (ciudad adyacente, distancia a ciudad adyacente). Explique los pasos para agregar una nueva tupla (ciudad1,ciudad2, distancia) al grafo. Considere un grafo no dirigido.",2.0,2,Buscar ambas ciudades en la lista de ciudades,1.0,Añadir la ciudad1 a la lista de ciudades adyacentes de la ciudad2 y viceversa,1.0,,0.0,88df783af9eb6184a8d3133450ff80bd86cd3bbeaa3c5f9e3ce72240f88882a8,"Punto 1: Buscar ambas ciudades en la lista de ciudades (Puntuación: 1.0), Punto 2: Añadir la ciudad1 a la lista de ciudades adyacentes de la ciudad2 y viceversa (Puntuación: 1.0)"
Mapa,Indique y explique 2 ejemplos en los que convendría utilizar una Mapa ordenado en vez de un Mapa no ordenado.,2.0,2,Explicación correcta,1.0,Ejemplo correcto,1.0,,0.0,7b31a3e82a068aebcb2f49b7e68d0deb0ea0059c272e16e0ac5a673e3d98d3bc,"Punto 1: Explicación correcta (Puntuación: 1.0), Punto 2: Ejemplo correcto (Puntuación: 1.0)"
Vector,¿Cuándo es adecuado usar una Lista en vez de un Vector? ¿Cúando es más adecuado usar un Vector en vez de una Lista?,2.0,2,Circunstancia correcta para usar Lista,1.0,Circunstancia correcta para usar Vector,1.0,,0.0,e714c418ffe2690f7dacd3bfee1906063d3a4b8a150890d0c210685ca65995c3,"Punto 1: Circunstancia correcta para usar Lista (Puntuación: 1.0), Punto 2: Circunstancia correcta para usar Vector (Puntuación: 1.0)"
Pila,¿Cómo puedo implementar una Pila usando una Lista? Indique la correspondencia de las operaciones principales.,3.0,3,Agregar elemento en la lista es como hacer push en la pila,1.0,Remover el último elemento de la lista es como hacer pop en la pila,1.0,Consultar el último elemento es como hacer top en la pila,1.0,8388cca565c66f3d3209f8b6942017dc2c07731abb0f90aa3ef2364c48b0a56d,"Punto 1: Agregar elemento en la lista es como hacer push en la pila (Puntuación: 1.0), Punto 2: Remover el último elemento de la lista es como hacer pop en la pila (Puntuación: 1.0), Punto 3: Consultar el último elemento es como hacer top en la pila (Puntuación: 1.0)"
Cola con prioridad,¿Cómo puedo implementar una Cola con Prioridad usando un Mapa o Conjunto ordenado? Indique la correspondencia de las operaciones principales.,2.0,2,Agregar elemento al mapa/conjunto con la prioridad como clave,1.0,Eliminar y devolver el elemento con la clave más pequeña/grande (según se definan las prioridades) es como realizar dequeue,1.0,,0.0,69a63b1541a17107c62ea50ad14efb2679018a0da6c0c52806b62e3e023e84b7,"Punto 1: Agregar elemento al mapa/conjunto con la prioridad como clave (Puntuación: 1.0), Punto 2: Eliminar y devolver el elemento con la clave más pequeña/grande (según se definan las prioridades) es como realizar dequeue (Puntuación: 1.0)"
Algoritmos y complejidad,Explique brevemente un algoritmo para generar la intersección de 2 listas usando un Conjunto. ¿Qué complejidad tendría el algoritmo si la inserción y búsqueda en el conjunto fueran O(1)?,1.0,3,Recorrer la primera lista e insertar elementos en el conjunto,1.0,"Recorrer la segunda lista, por cada elemento verificar si está en el conjunto (esto genera la intersección)",0.0,"Si la inserción y búsqueda en el conjunto es O(1), la complejidad total sería O(n+m), donde n y m son las longitudes de las listas",0.0,68f6f164907dc561e8bb59a23bd1831fd0fbc0f7de50d412729fef17318a8aed,"Punto 1: Recorrer la primera lista e insertar elementos en el conjunto (Puntuación: 1.0), Punto 2: Recorrer la segunda lista, por cada elemento verificar si está en el conjunto (esto genera la intersección) (Puntuación: 0.0), Punto 3: Si la inserción y búsqueda en el conjunto es O(1), la complejidad total sería O(n+m), donde n y m son las longitudes de las listas (Puntuación: 0.0)"
Algoritmos y complejidad,"Si quisiera mostrar las palabras de un texto ordenadas por cantidad de ocurrencias, podría usar un mapa para contar las apariciones de cada palabra, y luego un mapa ordenado para ordenarlas y luego mostrarlas. ¿Cuál es la complejidad del algoritmo? Asuma que la inserción/eliminación en un mapa no ordenado tiene complejidad O(1), y la inserción/eliminación en un mapa ordenado es O(log n), además avanzar en cualquiera de las estructuras tiene complejidad O(1).",1.0,3,El conteo de palabras con el mapa no ordenado tiene una complejidad de O(n),1.0,La inserción de palabras en el mapa ordenado tiene una complejidad de O(n log n),0.0,La complejidad total sería O(n log n),0.0,40300e309c1bfe7a60154e5cea8a2f7e677d065f7b61d468a3b4782f015ad575,"Punto 1: El conteo de palabras con el mapa no ordenado tiene una complejidad de O(n) (Puntuación: 1.0), Punto 2: La inserción de palabras en el mapa ordenado tiene una complejidad de O(n log n) (Puntuación: 0.0), Punto 3: La complejidad total sería O(n log n) (Puntuación: 0.0)"
Algoritmos y complejidad,Tengo una lista de películas. Cada película tiene una mapa de actores. Asumiendo que buscar en el mapa de actores es O(log n) y avanzar en la lista de películas es O(1) ¿Qué complejidad tiene mostrar las películas en las que trabaja un actor determinado? Explique con claridad.,2.0,2,Debo recorrer el mapa de películas para buscar al actor en cada mapa de actores,1.0,"La búsqueda de un actor en el mapa de cada película tiene una complejidad de O(m log n), donde m es la cantidad de películas y n la cantidad de actores en cada película",1.0,,0.0,9465f39e403357512f2f3eccc4911669d8017402bb1725055207bb0501ba8f3c,"Punto 1: Debo recorrer el mapa de películas para buscar al actor en cada mapa de actores (Puntuación: 1.0), Punto 2: La búsqueda de un actor en el mapa de cada película tiene una complejidad de O(m log n), donde m es la cantidad de películas y n la cantidad de actores en cada película (Puntuación: 1.0)"
Algoritmos y complejidad,"Suponga que para resolver un cubo rubik necesita 5 movidas. ¿Qué algoritmo propondría para encontrar estas movidas? Asumiendo que para cada movida existen 12 posibilidades, ¿cuántos estados debería analizar en total?",2.0,2,Explicación breve de algoritmo general,1.0,"Cálculo de estados es 12^5, explicación de este cálculo",1.0,,0.0,edb28a5bdf20c4b539d9d9180d2d7abec9b1d288b943661c5a01dd337b2f9b3b,"Punto 1: Explicación breve de algoritmo general (Puntuación: 1.0), Punto 2: Cálculo de estados es 12^5, explicación de este cálculo (Puntuación: 1.0)"
Algoritmos y complejidad,Escriba un algoritmo O(n) para mostrar el contenido de una Lista en orden inverso asumiendo que la lista no tiene operación de recorrido inverso prev. (Puede usar un TDA auxiliar),2.0,2,Recorre la lista ingresando elementos en pila,1.0,Los elementos se sacan de la pila e imprimen,1.0,,0.0,83b2d07228b555c9c28eeab54d7e345acaf3589538e571986c52d244e3c1109b,"Punto 1: Recorre la lista ingresando elementos en pila (Puntuación: 1.0), Punto 2: Los elementos se sacan de la pila e imprimen (Puntuación: 1.0)"
Algoritmos y complejidad,¿Cómo puedo “revolver” un mazo de cartas usando un Mapa? ¿Qué complejidad tendría el algoritmo si la inserción en el mapa fuera O(log n)?,1.0,3,Generar clave aleatoria para cada carta,1.0,Ingresar cartas en mapa y scarlas revueltas,0.0,Complejidad correcta: O(n log n),0.0,6c349105dc93e1a01a3a2585f060a4026e378b88ebfdda9fb2baa0d4d91a64f5,"Punto 1: Generar clave aleatoria para cada carta (Puntuación: 1.0), Punto 2: Ingresar cartas en mapa y scarlas revueltas (Puntuación: 0.0), Punto 3: Complejidad correcta: O(n log n) (Puntuación: 0.0)"
Uso TDAs,"¿Qué TDA se necesita para recorrer un árbol en profundidad? ¿Para qué se usa el TDA, y por qué es el más adecuado?",2.0,2,Utiliza una pila,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,693692bce0d90004d9d0cc54d6652b371cfc57b086e709c0e4666cadfa5f01df,"Punto 1: Utiliza una pila (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Que TDA(s) usaría para organizar una colección de canciones por género? Explique como lo(s) usaría.,2.0,2,Mapa con clave género,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,90aec4c489690f60520c1708cd52517aae8768fc91d336682a55d8e70e98cd8f,"Punto 1: Mapa con clave género (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Que TDA(s) usaría para mantener el historial de transacciones en un banco? Explique como lo(s) usaría.,2.0,2,Lista y argumentos,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,51390cdd37e7a42aa7a1ce25a67f2e7928804a5cf1cb49d63bc29044d7d2dbc1,"Punto 1: Lista y argumentos (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Que TDA(s) usaría para mantener actualizada la información de los estudiantes de la Escuela? Explique como lo(s) usaría.,2.0,2,Mapa para acceder por clave nombre o rut,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,bcd618728a7d3c0c667320c96168feea8b76be2916febf0b22590852e0eca52b,"Punto 1: Mapa para acceder por clave nombre o rut (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
