Tópico,Pregunta,,,,,,,
ABB,"Para obtener un árbol binario de búsqueda perfectamente balanceado,en qué orden deberíamos ingresar la siguiente secuencia de claves: [1 2 3 4 5 6 7]?",,"Da un ejemplo correcto, por ejemplo: [4 2 3 1 6 5 7] o [4 2 6 1 3 5 7]",2,,,,
AVL,"Explique, de manera general, cuándo y cómo se efectúan las rotaciones en un árbol AVL.",,Cuando el árbol se desequilibra después de una inserción o eliminación,1,Descripción general de las rotaciones en un AVL,1,,
AVL,¿Cómo se determina el factor de balance en un árbol AVL y qué indica?,,Se determina como la diferencia de alturas entre el subárbol izquierdo y derecho,1,Indica si el subárbol está balanceado,1,,
AVL,¿En qué escenarios un árbol AVL puede ser más eficiente que un árbol rojo-negro? Explique.,,Menciona al menos un escenario (como búsquedas en un conjunto de datos donde las inserciones y eliminaciones son menos frecuentes),1,Explica correctamente el escenario,1,,
Rojo-negro,"En el árbol rojo negro, cada rama debe tener la misma cantidad de nodos negros. Si tengo un árbol con 5 nodos negros en cada rama, entonces ¿cuál es la altura mínima y máxima que puede tener el árbol? Explique.",,La altura mínima es 5,"0,5",La altura máxima es 10,"0,5",Explicación correcta,1
Rojo-negro,"¿Por qué los árboles rojo-negro son los preferidos en el diseño de estructuras de datos ordenadas, como TreeMap en Java? ¿Qué pasa con el AVL?",,Más rápido en operaciones de inserción/eliminación,1,AVL es más estricto: realiza más rotaciones empeorando la eficiencia,1,,
Rojo-negro,¿Cómo se mantiene el balance en un árbol rojo-negro después de una inserción o eliminación?,,Realizando rotaciones,1,Recoloreando nodos,1,,
Rojo-negro,"Si un árbol rojo-negro tiene N nodos negros, ¿cuál es la altura máxima que puede tener el árbol y por qué?",,Altura máxima es 2N,1,Cada nodo rojo debe tener nodos negros como hijos,1,,
Splay,¿Cuándo podría ser conveniente utilizar un árbol biselado? ¿Por qué?,,Cuando algunos datos se acceden con mayor frecuencia,1,Estos datos se mantienen en nodos más cercanos a la raíz,1,,
Splay,"¿Por qué los árboles biselados no necesitan almacenar información adicional, como la altura o el balance, en sus nodos, en comparación con otros tipos de árboles de búsqueda binaria?",,"Nodo accedido siempre se ""sube"" realizando rotaciones (no necesita un factor de balanceo)",2,,,,
Splay,¿Cuáles son algunas aplicaciones prácticas de los árboles biselados y por qué son adecuados para estas aplicaciones?,,Razón correcta,1,Aplicación correcta,1,,
B/B+,¿Por qué se dice que un árbol B/B+ es una estructura de datos adecuada para mantenerla en disco (disco duro o SSD)?,,Optimizan el acceso a disco reduciendo la cantidad de lecturas/escrituras,2,,,,
B/B+,"En un árbol B/B+, ¿cuál es el tamaño óptimo que debieran tener los nodos y por qué?",,El tamaño óptimo es el que permite aprovechar al máximo el bloque de lectura del disco,2,,,,
B/B+,"¿Cuántas lecturas a disco requiere un árbol B+ para realizar la búsqueda de un dato (usando la clave), asumiendo que el árbol tiene 10^10 datos, y la cantidad de hijos por nodo es 100? Explicite los cálculos necesarios para llegar al resultado.",,Altura del árbol es log100(10^10)=5,1,Se necesitan alrededor de 7 lecturas (raiz+nodos intermedios+dato),1,,
B/B+,Explique paso a paso la inserción en un árbol B.,,Búsqueda del nodo hoja en donde se debe realizar la inserción,1,Explicación correcta de división de nodos,1,,
B/B+,Indique ventajas de un árbol B+ en comparación con un árbol B.,,Al menos 1 ventaja correcta,2,,,,
B/B+,¿Qué ventaja tiene un árbol B/B+ comparado con una tabla hash?,,Recorridos ordenados,2,Búsquedas por rangos eficientes,2,,
Lista enlazada,¿Cuáles son los pasos que debe seguir el algoritmo de eliminación del nodo current en una lista enlazada doble?,,Conecta nodo anterior con el siguiente,1,Liberar memoria del nodo,1,,
Lista enlazada,¿Por qué en una lista enlazada circular simple es mejor mantener un puntero al final que al principio?,,Facilita la operación de inserción al final,1,Facilita la operación de eliminación al final (incorrecto ya que necesito recorrer la lista para enlazar penúltimo elemento con el primero),1,,
Lista enlazada,¿Cuándo es más conveniente usar una lista enlazada en vez de un arreglo?,,Cuando se necesitan inserciones y eliminaciones eficientes en medio de la lista,2,Para almacenamiento dinámico,1,,
Arreglo,¿Cuáles son los pasos que debe seguir el algoritmo de eliminación del dato current en una arreglo circular con índices inicio y fin?,,Desplazar los datos después de la posición de eliminación,1,Actualizar los índices,1,,
Arreglo,"Cuando implementamos TDAs usando arreglos, ¿por qué no es necesario liberar memoria cuando eliminamos un dato?",,Porque el arreglo ya tiene un tamaño predefinido,2,,,,
Arreglo,¿Por qué se dice que un arreglo ordenado es más rápido que un árbol binario para hacer búsquedas?,,Menciona explícitamente que se aplica búsqueda binaria en arreglo ordenado (si realiza búsqueda directa item **no considera**),1,Se comporta como un árbol perfectamente balanceado (mínima altura),1,,
Lista,Indique y explique 2 ejemplos en los que convendría utilizar una Lista en vez de un Mapa.,,Explicación correcta,1,Ejemplo correcto,1,,
Grafos,"Un grafo de ciudades se puede implementar con una lista de ciudades, en donde cada ciudad tiene una lista de pares (ciudad adyacente, distancia a ciudad adyacente). Explique los pasos para agregar una nueva tupla (ciudad1,ciudad2, distancia) al grafo. Considere un grafo no dirigido.",,Buscar ambas ciudades en la lista de ciudades,1,Añadir la ciudad1 a la lista de ciudades adyacentes de la ciudad2 y viceversa,1,,
Mapa,Indique y explique 2 ejemplos en los que convendría utilizar una Mapa ordenado en vez de un Mapa no ordenado.,,Explicación correcta,1,Ejemplo correcto,1,,
Vector,¿Cuándo es adecuado usar una Lista en vez de un Vector? ¿Cúando es más adecuado usar un Vector en vez de una Lista?,,Circunstancia correcta para usar Lista,1,Circunstancia correcta para usar Vector,1,,
Pila,¿Cómo puedo implementar una Pila usando una Lista? Indique la correspondencia de las operaciones principales.,,Agregar elemento en la lista es como hacer push en la pila,1,Remover el último elemento de la lista es como hacer pop en la pila,1,Consultar el último elemento es como hacer top en la pila,1
Cola con prioridad,¿Cómo puedo implementar una Cola con Prioridad usando un Mapa o Conjunto ordenado? Indique la correspondencia de las operaciones principales.,,Agregar elemento al mapa/conjunto con la prioridad como clave,1,Eliminar y devolver el elemento con la clave más pequeña/grande (según se definan las prioridades) es como realizar dequeue,1,,
Algoritmos y complejidad,Explique brevemente un algoritmo para generar la intersección de 2 listas usando un Conjunto. ¿Qué complejidad tendría el algoritmo si la inserción y búsqueda en el conjunto fueran O(1)?,,Recorrer la primera lista e insertar elementos en el conjunto,1,"Recorrer la segunda lista, por cada elemento verificar si está en el conjunto (esto genera la intersección)","0,5","Si la inserción y búsqueda en el conjunto es O(1), la complejidad total sería O(n+m), donde n y m son las longitudes de las listas","0,5"
Algoritmos y complejidad,"Si quisiera mostrar las palabras de un texto ordenadas por cantidad de ocurrencias, podría usar un mapa para contar las apariciones de cada palabra, y luego un mapa ordenado para ordenarlas y luego mostrarlas. ¿Cuál es la complejidad del algoritmo? Asuma que la inserción/eliminación en un mapa no ordenado tiene complejidad O(1), y la inserción/eliminación en un mapa ordenado es O(log n), además avanzar en cualquiera de las estructuras tiene complejidad O(1).",,El conteo de palabras con el mapa no ordenado tiene una complejidad de O(n),1,La inserción de palabras en el mapa ordenado tiene una complejidad de O(n log n),"0,5",La complejidad total sería O(n log n),"0,5"
Algoritmos y complejidad,Tengo una lista de películas. Cada película tiene una mapa de actores. Asumiendo que buscar en el mapa de actores es O(log n) y avanzar en la lista de películas es O(1) ¿Qué complejidad tiene mostrar las películas en las que trabaja un actor determinado? Explique con claridad.,,Debo recorrer el mapa de películas para buscar al actor en cada mapa de actores,1,"La búsqueda de un actor en el mapa de cada película tiene una complejidad de O(m log n), donde m es la cantidad de películas y n la cantidad de actores en cada película",1,,
Algoritmos y complejidad,"Suponga que para resolver un cubo rubik necesita 5 movidas. ¿Qué algoritmo propondría para encontrar estas movidas? Asumiendo que para cada movida existen 12 posibilidades, ¿cuántos estados debería analizar en total?",,Explicación breve de algoritmo general,1,"Cálculo de estados es 12^5, explicación de este cálculo",1,,
Algoritmos y complejidad,Escriba un algoritmo O(n) para mostrar el contenido de una Lista en orden inverso asumiendo que la lista no tiene operación de recorrido inverso prev. (Puede usar un TDA auxiliar),,Recorre la lista ingresando elementos en pila,1,Los elementos se sacan de la pila e imprimen,1,,
Algoritmos y complejidad,¿Cómo puedo “revolver” un mazo de cartas usando un Mapa? ¿Qué complejidad tendría el algoritmo si la inserción en el mapa fuera O(log n)?,,Generar clave aleatoria para cada carta,1,Ingresar cartas en mapa y scarlas revueltas,"0,5",Complejidad correcta: O(n log n),"0,5"
Uso TDAs,"¿Qué TDA se necesita para recorrer un árbol en profundidad? ¿Para qué se usa el TDA, y por qué es el más adecuado?",,Utiliza una pila,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Que TDA(s) usaría para organizar una colección de canciones por género? Explique como lo(s) usaría.,,Mapa con clave género,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Que TDA(s) usaría para mantener el historial de transacciones en un banco? Explique como lo(s) usaría.,,Lista y argumentos,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Que TDA(s) usaría para mantener actualizada la información de los estudiantes de la Escuela? Explique como lo(s) usaría.,,Mapa para acceder por clave nombre o rut,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Que TDA(s) usaría para permitir deshacer acciones en un juego de ajedrez? Explique como lo(s) usaría.,,Pila para poder deshacer última acción,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para modelar las relaciones de una red social? Explique cómo lo(s) usaría.,,Grafo explicitando a qué corresponden los nodos y los arcos,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para gestionar la prioridad de procesos en un sistema operativo? Explique cómo lo(s) usaría.,,Cola con prioridad ,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para almacenar y recuperar información de una página web? Explique cómo lo(s) usaría.,,"Utiliza un TDA adecuado, (por ejemplo una lista dependiendo de la información que se necesite almacenar)",1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para representar el laberinto en un juego? Explique cómo lo(s) usaría.,,Grafo explicitando a qué corresponden los nodos y los arcos,1,Matriz con distintos valores para representar pasillos o paredes,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1
Uso TDAs,¿Qué TDA(s) usaría para construir un sistema de gestión de inventario en un supermercado? Explique cómo lo(s) usaría.,,"Mapa de productos, con clave nombre o id de productos",1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para realizar operaciones de búsqueda y clasificación en una base de datos de libros? Explique cómo lo(s) usaría.,,"Mapas para organizar por distintos criterios (temática, título, autor, etc.)",1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para programar la ruta más corta en una aplicación de navegación GPS? Explique cómo lo(s) usaría.,,Grafo explicitando a qué corresponden los nodos y los arcos,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para mantener el seguimiento de las tareas pendientes en un software de gestión de proyectos? Explique cómo lo(s) usaría.,,Mapa o lista de tareas pendientes,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
Uso TDAs,¿Qué TDA(s) usaría para simular la propagación de un virus en una población? Explique cómo lo(s) usaría.,,Usa TDAs adecuados (por ejemplo mapa de personas con lista de personas con contacto estrecho).,1,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1,,
